OrderID,OrderDate,Region,SalesChannel,CustomerSegment,SalesRep,ProductCategory,Product,Quantity,UnitPrice,DiscountPct,UnitCost,Revenue,Cost,Profit,ProfitMarginPct,OrderMonth,OrderYear,Weekday
ORD102344,2024-06-24,North,In-Store,Small Business,Rep_07,Electronics,Laptop Stand,9,168.38,0.0,107.67,1515.42,969.03,546.39,36.06,2024-06,2024,Monday
ORD102076,2024-10-20,West,Marketplace,Enterprise,Rep_07,Electronics,Wireless Earbuds,2,146.12,0.0,85.85,292.24,171.7,120.54,41.25,2024-10,2024,Sunday
ORD100186,2025-01-10,West,Online,Consumer,Rep_11,Electronics,Wireless Earbuds,7,200.16,0.0,91.79,1401.12,642.53,758.59,54.14,2025-01,2025,Friday
ORD100414,2025-07-21,South,In-Store,Consumer,Rep_05,Sports & Outdoors,Water Bottle,5,52.14,5.0,25.03,247.66,125.15,122.51,49.47,2025-07,2025,Monday
ORD101002,2025-11-27,South,In-Store,Small Business,Rep_11,Apparel,Yoga Pants,2,16.09,0.0,8.7,32.18,17.4,14.78,45.93,2025-11,2025,Thursday
ORD100801,2025-12-20,East,Online,Small Business,Rep_04,Sports & Outdoors,Cycling Helmet,4,55.71,0.0,29.02,222.84,116.08,106.76,47.91,2025-12,2025,Saturday
ORD101487,2024-08-31,North,Marketplace,Consumer,Rep_01,Apparel,Denim Jacket,3,40.29,0.0,22.57,120.87,67.71,53.16,43.98,2024-08,2024,Saturday
ORD100026,2025-01-16,North,In-Store,Consumer,Rep_04,Apparel,Backpack,4,24.63,15.0,12.79,83.74,51.16,32.58,38.91,2025-01,2025,Thursday
ORD101824,2024-07-09,East,Online,Consumer,Rep_03,Home & Kitchen,Vacuum Cleaner,2,135.81,0.0,66.78,271.62,133.56,138.06,50.83,2024-07,2024,Tuesday
ORD100419,2025-01-19,South,In-Store,Consumer,Rep_10,Sports & Outdoors,Water Bottle,3,102.91,5.0,52.82,293.29,158.46,134.83,45.97,2025-01,2025,Sunday
ORD102283,2025-05-29,West,In-Store,Consumer,Rep_09,Sports & Outdoors,Yoga Mat,4,60.51,0.0,28.38,242.04,113.52,128.52,53.1,2025-05,2025,Thursday
ORD100705,2024-12-16,North,Marketplace,Small Business,Rep_09,Electronics,Bluetooth Speaker,2,127.26,0.0,62.29,254.52,124.58,129.94,51.05,2024-12,2024,Monday
ORD100631,2025-06-12,East,Marketplace,Consumer,Rep_10,Home & Kitchen,Air Fryer,4,129.81,0.0,59.95,519.24,239.8,279.44,53.82,2025-06,2025,Thursday
ORD101450,2025-07-10,East,Online,Consumer,Rep_14,Home & Kitchen,Vacuum Cleaner,2,89.62,0.0,40.47,179.24,80.94,98.3,54.84,2025-07,2025,Thursday
ORD101558,2024-05-11,West,Online,Consumer,Rep_09,Home & Kitchen,Air Fryer,3,114.46,0.0,75.74,343.38,227.22,116.16,33.83,2024-05,2024,Saturday
ORD101753,2025-12-22,South,Online,Small Business,Rep_10,Home & Kitchen,Blender,7,171.99,5.0,82.33,1143.73,576.31,567.42,49.61,2025-12,2025,Monday
ORD102377,2024-02-22,East,In-Store,Small Business,Rep_01,Home & Kitchen,Air Fryer,4,93.83,5.0,44.82,356.55,179.28,177.27,49.72,2024-02,2024,Thursday
ORD101649,2025-06-05,West,Marketplace,Consumer,Rep_15,Home & Kitchen,Air Fryer,3,47.81,0.0,28.98,143.43,86.94,56.49,39.39,2025-06,2025,Thursday
ORD102084,2024-09-30,North,Online,Consumer,Rep_12,Electronics,Smartwatch,6,43.0,15.0,28.54,219.3,171.24,48.06,21.92,2024-09,2024,Monday
ORD102004,2024-06-19,East,Marketplace,Consumer,Rep_07,Beauty,Perfume,3,88.1,0.0,41.01,264.3,123.03,141.27,53.45,2024-06,2024,Wednesday
ORD101075,2024-08-16,North,Marketplace,Consumer,Rep_14,Sports & Outdoors,Yoga Mat,6,44.92,10.0,23.56,242.57,141.36,101.21,41.72,2024-08,2024,Friday
ORD101800,2024-05-13,West,In-Store,Small Business,Rep_04,Home & Kitchen,Cookware Set,3,159.3,0.0,95.05,477.9,285.15,192.75,40.33,2024-05,2024,Monday
ORD101224,2025-09-18,West,Online,Consumer,Rep_11,Electronics,Power Bank,2,41.7,0.0,26.15,83.4,52.3,31.1,37.29,2025-09,2025,Thursday
ORD100356,2024-02-23,North,Marketplace,Consumer,Rep_04,Home & Kitchen,Cookware Set,1,129.9,0.0,61.94,129.9,61.94,67.96,52.32,2024-02,2024,Friday
ORD100506,2025-02-20,North,In-Store,Consumer,Rep_04,Electronics,Bluetooth Speaker,3,94.91,0.0,43.56,284.73,130.68,154.05,54.1,2025-02,2025,Thursday
ORD101925,2025-09-29,North,Online,Small Business,Rep_11,Apparel,Running Shoes,1,52.15,10.0,25.77,46.94,25.77,21.17,45.1,2025-09,2025,Monday
ORD100879,2025-09-02,North,Online,Small Business,Rep_08,Home & Kitchen,Coffee Maker,3,126.85,0.0,73.49,380.55,220.47,160.08,42.07,2025-09,2025,Tuesday
ORD102193,2024-11-17,East,In-Store,Consumer,Rep_10,Sports & Outdoors,Dumbbell Set,8,22.03,5.0,11.74,167.43,93.92,73.51,43.9,2024-11,2024,Sunday
ORD101317,2024-08-08,North,In-Store,Small Business,Rep_15,Apparel,Yoga Pants,1,17.34,0.0,11.44,17.34,11.44,5.9,34.03,2024-08,2024,Thursday
ORD100637,2024-11-27,North,Online,Enterprise,Rep_09,Beauty,Perfume,4,80.89,0.0,47.16,323.56,188.64,134.92,41.7,2024-11,2024,Wednesday
ORD100450,2025-07-03,North,Marketplace,Consumer,Rep_09,Home & Kitchen,Cookware Set,3,82.91,0.0,53.01,248.73,159.03,89.7,36.06,2025-07,2025,Thursday
ORD101945,2024-06-24,South,Online,Small Business,Rep_10,Beauty,Perfume,3,36.72,0.0,19.04,110.16,57.12,53.04,48.15,2024-06,2024,Monday
ORD101085,2024-07-23,North,Online,Consumer,Rep_05,Sports & Outdoors,Dumbbell Set,1,74.11,0.0,43.5,74.11,43.5,30.61,41.3,2024-07,2024,Tuesday
ORD100568,2024-10-19,East,In-Store,Consumer,Rep_07,Home & Kitchen,Air Fryer,3,38.91,0.0,23.22,116.73,69.66,47.07,40.32,2024-10,2024,Saturday
ORD101385,2025-06-19,South,Online,Consumer,Rep_07,Apparel,Running Shoes,3,19.67,5.0,11.03,56.06,33.09,22.97,40.97,2025-06,2025,Thursday
ORD102031,2024-02-25,South,Online,Small Business,Rep_13,Beauty,Makeup Kit,5,53.14,0.0,26.17,265.7,130.85,134.85,50.75,2024-02,2024,Sunday
ORD102510,2024-08-15,North,In-Store,Small Business,Rep_15,Beauty,Skincare Set,3,39.64,0.0,21.77,118.92,65.31,53.61,45.08,2024-08,2024,Thursday
ORD100194,2024-09-28,North,Marketplace,Consumer,Rep_06,Sports & Outdoors,Dumbbell Set,4,143.69,5.0,82.8,546.02,331.2,214.82,39.34,2024-09,2024,Saturday
ORD101397,2025-04-17,South,In-Store,Consumer,Rep_08,Home & Kitchen,Air Fryer,2,53.58,5.0,26.42,101.8,52.84,48.96,48.09,2025-04,2025,Thursday
ORD101394,2024-11-24,West,Online,Small Business,Rep_15,Apparel,Winter Coat,9,42.0,0.0,27.87,378.0,250.83,127.17,33.64,2024-11,2024,Sunday
ORD101874,2024-07-16,East,Online,Small Business,Rep_09,Apparel,Winter Coat,2,31.84,0.0,15.55,63.68,31.1,32.58,51.16,2024-07,2024,Tuesday
ORD101464,2024-07-10,East,Marketplace,Consumer,Rep_04,Home & Kitchen,Vacuum Cleaner,4,146.4,0.0,98.53,585.6,394.12,191.48,32.7,2024-07,2024,Wednesday
ORD100179,2025-04-16,South,Online,Consumer,Rep_03,Home & Kitchen,Cookware Set,4,50.88,5.0,31.8,193.34,127.2,66.14,34.21,2025-04,2025,Wednesday
ORD100687,2024-11-26,East,Online,Consumer,Rep_04,Electronics,Laptop Stand,8,192.92,0.0,92.41,1543.36,739.28,804.08,52.1,2024-11,2024,Tuesday
ORD101119,2024-02-25,East,Online,Consumer,Rep_13,Electronics,Power Bank,1,51.63,0.0,29.75,51.63,29.75,21.88,42.38,2024-02,2024,Sunday
ORD101730,2024-07-01,North,Online,Consumer,Rep_09,Sports & Outdoors,Camping Tent,5,79.59,0.0,51.16,397.95,255.8,142.15,35.72,2024-07,2024,Monday
ORD100819,2025-11-06,North,In-Store,Consumer,Rep_13,Electronics,Smartwatch,11,117.84,20.0,59.83,1036.99,658.13,378.86,36.53,2025-11,2025,Thursday
ORD102074,2025-06-12,East,Online,Small Business,Rep_04,Beauty,Perfume,6,33.15,5.0,16.08,188.95,96.48,92.47,48.94,2025-06,2025,Thursday
ORD102405,2024-01-05,West,Marketplace,Small Business,Rep_04,Beauty,Makeup Kit,1,45.53,0.0,22.46,45.53,22.46,23.07,50.67,2024-01,2024,Friday
ORD100744,2025-01-30,West,Online,Consumer,Rep_06,Sports & Outdoors,Camping Tent,3,127.71,0.0,72.61,383.13,217.83,165.3,43.14,2025-01,2025,Thursday
ORD100400,2024-09-27,East,Online,Consumer,Rep_11,Home & Kitchen,Air Fryer,2,110.16,0.0,57.89,220.32,115.78,104.54,47.45,2024-09,2024,Friday
ORD102587,2024-07-08,East,Online,Small Business,Rep_13,Home & Kitchen,Coffee Maker,1,113.05,0.0,60.29,113.05,60.29,52.76,46.67,2024-07,2024,Monday
ORD102261,2025-07-06,South,Online,Consumer,Rep_03,Beauty,Hair Dryer,3,83.89,5.0,55.32,239.09,165.96,73.13,30.59,2025-07,2025,Sunday
ORD102503,2024-04-02,East,Online,Consumer,Rep_11,Home & Kitchen,Vacuum Cleaner,2,154.39,0.0,95.17,308.78,190.34,118.44,38.36,2024-04,2024,Tuesday
ORD102514,2024-07-14,North,In-Store,Consumer,Rep_05,Electronics,Smartwatch,7,75.55,0.0,37.59,528.85,263.13,265.72,50.24,2024-07,2024,Sunday
ORD101296,2024-09-11,South,Online,Consumer,Rep_10,Home & Kitchen,Blender,5,31.15,0.0,20.36,155.75,101.8,53.95,34.64,2024-09,2024,Wednesday
ORD102485,2024-12-26,West,In-Store,Small Business,Rep_06,Home & Kitchen,Cookware Set,2,65.93,15.0,34.51,112.08,69.02,43.06,38.42,2024-12,2024,Thursday
ORD101802,2024-10-07,East,In-Store,Consumer,Rep_11,Electronics,Smartwatch,2,41.15,0.0,19.95,82.3,39.9,42.4,51.52,2024-10,2024,Monday
ORD100226,2025-07-18,West,Online,Enterprise,Rep_01,Electronics,Smartwatch,3,134.21,0.0,68.53,402.63,205.59,197.04,48.94,2025-07,2025,Friday
ORD102035,2024-09-13,South,In-Store,Consumer,Rep_05,Sports & Outdoors,Cycling Helmet,2,112.1,0.0,66.56,224.2,133.12,91.08,40.62,2024-09,2024,Friday
ORD101086,2024-10-28,North,Online,Consumer,Rep_04,Apparel,Backpack,4,103.25,0.0,67.65,413.0,270.6,142.4,34.48,2024-10,2024,Monday
ORD101871,2025-03-22,South,In-Store,Consumer,Rep_11,Apparel,Denim Jacket,1,38.52,0.0,25.88,38.52,25.88,12.64,32.81,2025-03,2025,Saturday
ORD100713,2024-03-16,East,In-Store,Consumer,Rep_10,Sports & Outdoors,Cycling Helmet,6,39.86,0.0,23.95,239.16,143.7,95.46,39.91,2024-03,2024,Saturday
ORD100863,2024-01-03,North,In-Store,Small Business,Rep_02,Beauty,Makeup Kit,3,46.6,10.0,21.63,125.82,64.89,60.93,48.43,2024-01,2024,Wednesday
ORD102041,2024-03-22,West,Online,Consumer,Rep_12,Home & Kitchen,Vacuum Cleaner,3,31.68,5.0,16.57,90.29,49.71,40.58,44.94,2024-03,2024,Friday
ORD101095,2024-06-24,North,In-Store,Consumer,Rep_07,Electronics,Laptop Stand,5,40.24,5.0,23.47,191.14,117.35,73.79,38.61,2024-06,2024,Monday
ORD100778,2024-01-22,East,Online,Consumer,Rep_03,Home & Kitchen,Air Fryer,2,128.25,10.0,64.65,230.85,129.3,101.55,43.99,2024-01,2024,Monday
ORD100423,2024-02-07,West,Online,Consumer,Rep_13,Home & Kitchen,Coffee Maker,2,141.09,0.0,67.8,282.18,135.6,146.58,51.95,2024-02,2024,Wednesday
ORD100514,2024-02-04,North,Marketplace,Consumer,Rep_10,Sports & Outdoors,Cycling Helmet,3,101.44,0.0,49.09,304.32,147.27,157.05,51.61,2024-02,2024,Sunday
ORD102064,2024-09-23,East,Online,Enterprise,Rep_06,Apparel,Yoga Pants,1,112.87,0.0,72.57,112.87,72.57,40.3,35.7,2024-09,2024,Monday
ORD102066,2025-06-10,South,Online,Consumer,Rep_05,Beauty,Hair Dryer,2,38.76,0.0,25.99,77.52,51.98,25.54,32.95,2025-06,2025,Tuesday
ORD101528,2024-04-24,South,In-Store,Enterprise,Rep_01,Electronics,Smartwatch,2,161.52,0.0,104.02,323.04,208.04,115.0,35.6,2024-04,2024,Wednesday
ORD100716,2025-06-22,East,In-Store,Consumer,Rep_02,Home & Kitchen,Blender,6,34.86,0.0,23.08,209.16,138.48,70.68,33.79,2025-06,2025,Sunday
ORD102467,2025-10-10,South,Online,Consumer,Rep_01,Electronics,Wireless Earbuds,5,134.86,5.0,90.17,640.58,450.85,189.73,29.62,2025-10,2025,Friday
ORD100142,2024-04-27,East,Online,Consumer,Rep_04,Sports & Outdoors,Camping Tent,3,27.29,15.0,17.83,69.59,53.49,16.1,23.14,2024-04,2024,Saturday
ORD101812,2024-03-19,North,Online,Consumer,Rep_07,Beauty,Hair Dryer,3,41.89,0.0,22.63,125.67,67.89,57.78,45.98,2024-03,2024,Tuesday
ORD101645,2024-05-11,North,In-Store,Consumer,Rep_15,Electronics,Wireless Earbuds,5,131.04,5.0,85.1,622.44,425.5,196.94,31.64,2024-05,2024,Saturday
ORD100740,2025-09-17,West,Online,Consumer,Rep_03,Electronics,Laptop Stand,3,202.74,0.0,129.35,608.22,388.05,220.17,36.2,2025-09,2025,Wednesday
ORD100582,2024-09-17,East,Online,Consumer,Rep_11,Beauty,Makeup Kit,2,24.49,0.0,16.29,48.98,32.58,16.4,33.48,2024-09,2024,Tuesday
ORD101007,2025-01-20,South,Online,Consumer,Rep_05,Apparel,Winter Coat,6,91.68,0.0,56.88,550.08,341.28,208.8,37.96,2025-01,2025,Monday
ORD100672,2025-02-06,West,Online,Consumer,Rep_15,Apparel,Yoga Pants,4,37.79,0.0,20.31,151.16,81.24,69.92,46.26,2025-02,2025,Thursday
ORD100732,2024-04-18,North,In-Store,Small Business,Rep_07,Electronics,Laptop Stand,3,86.19,0.0,44.25,258.57,132.75,125.82,48.66,2024-04,2024,Thursday
ORD101659,2024-03-20,South,Online,Small Business,Rep_08,Beauty,Face Serum,3,71.13,5.0,33.05,202.72,99.15,103.57,51.09,2024-03,2024,Wednesday
ORD102538,2025-04-18,North,Marketplace,Consumer,Rep_09,Home & Kitchen,Blender,3,176.64,0.0,108.8,529.92,326.4,203.52,38.41,2025-04,2025,Friday
ORD100190,2024-11-21,East,Online,Consumer,Rep_04,Sports & Outdoors,Camping Tent,4,87.36,0.0,45.57,349.44,182.28,167.16,47.84,2024-11,2024,Thursday
ORD100415,2025-04-20,East,Online,Consumer,Rep_05,Home & Kitchen,Air Fryer,3,45.0,5.0,27.79,128.25,83.37,44.88,34.99,2025-04,2025,Sunday
ORD100354,2024-05-06,North,Online,Small Business,Rep_08,Apparel,Running Shoes,4,91.57,0.0,54.65,366.28,218.6,147.68,40.32,2024-05,2024,Monday
ORD100110,2024-09-19,East,In-Store,Small Business,Rep_08,Home & Kitchen,Air Fryer,1,36.45,0.0,20.22,36.45,20.22,16.23,44.53,2024-09,2024,Thursday
ORD100412,2024-07-26,West,In-Store,Consumer,Rep_15,Beauty,Skincare Set,5,24.49,0.0,12.91,122.45,64.55,57.9,47.28,2024-07,2024,Friday
ORD101634,2025-07-25,West,In-Store,Enterprise,Rep_10,Home & Kitchen,Vacuum Cleaner,4,94.85,0.0,60.18,379.4,240.72,138.68,36.55,2025-07,2025,Friday
ORD100584,2025-01-25,East,Online,Enterprise,Rep_09,Beauty,Makeup Kit,5,52.9,0.0,35.51,264.5,177.55,86.95,32.87,2025-01,2025,Saturday
ORD101471,2024-03-10,South,Online,Consumer,Rep_14,Apparel,Yoga Pants,3,87.61,5.0,59.04,249.69,177.12,72.57,29.06,2024-03,2024,Sunday
ORD101929,2025-03-15,South,Online,Consumer,Rep_05,Electronics,Laptop Stand,2,135.34,0.0,89.1,270.68,178.2,92.48,34.17,2025-03,2025,Saturday
ORD101401,2025-03-07,South,Marketplace,Small Business,Rep_08,Beauty,Perfume,4,35.07,0.0,21.2,140.28,84.8,55.48,39.55,2025-03,2025,Friday
ORD102562,2025-03-12,East,Online,Consumer,Rep_09,Home & Kitchen,Blender,3,171.44,0.0,81.04,514.32,243.12,271.2,52.73,2025-03,2025,Wednesday
ORD102557,2024-10-10,East,Online,Consumer,Rep_02,Electronics,Smartwatch,5,147.67,0.0,88.15,738.35,440.75,297.6,40.31,2024-10,2024,Thursday
ORD101070,2025-05-10,North,Online,Consumer,Rep_09,Sports & Outdoors,Yoga Mat,7,59.47,10.0,33.88,374.66,237.16,137.5,36.7,2025-05,2025,Saturday
ORD100060,2025-10-29,East,In-Store,Enterprise,Rep_09,Electronics,Laptop Stand,1,74.75,0.0,48.68,74.75,48.68,26.07,34.88,2025-10,2025,Wednesday
ORD102427,2025-05-16,West,Online,Consumer,Rep_15,Sports & Outdoors,Water Bottle,4,64.79,15.0,39.43,220.29,157.72,62.57,28.4,2025-05,2025,Friday
ORD101608,2024-11-22,South,Online,Small Business,Rep_02,Beauty,Makeup Kit,5,35.14,0.0,23.71,175.7,118.55,57.15,32.53,2024-11,2024,Friday
ORD102120,2024-03-22,North,In-Store,Consumer,Rep_01,Home & Kitchen,Cookware Set,2,41.7,5.0,19.63,79.23,39.26,39.97,50.45,2024-03,2024,Friday
ORD101281,2024-10-26,South,Online,Consumer,Rep_07,Home & Kitchen,Coffee Maker,5,124.36,10.0,58.18,559.62,290.9,268.72,48.02,2024-10,2024,Saturday
ORD100099,2025-03-18,West,Online,Small Business,Rep_06,Electronics,Laptop Stand,3,75.23,0.0,50.44,225.69,151.32,74.37,32.95,2025-03,2025,Tuesday
ORD101731,2025-04-21,North,Online,Small Business,Rep_09,Home & Kitchen,Vacuum Cleaner,4,31.16,0.0,19.81,124.64,79.24,45.4,36.42,2025-04,2025,Monday
ORD101912,2024-03-14,West,Online,Consumer,Rep_10,Apparel,Winter Coat,3,96.14,0.0,52.03,288.42,156.09,132.33,45.88,2024-03,2024,Thursday
ORD100892,2024-05-03,North,Marketplace,Consumer,Rep_06,Apparel,Running Shoes,2,42.86,5.0,24.78,81.43,49.56,31.87,39.14,2024-05,2024,Friday
ORD102471,2025-06-12,North,Online,Consumer,Rep_02,Apparel,Backpack,3,70.37,0.0,35.76,211.11,107.28,103.83,49.18,2025-06,2025,Thursday
ORD101625,2025-06-09,South,Online,Consumer,Rep_14,Beauty,Skincare Set,3,61.67,0.0,33.87,185.01,101.61,83.4,45.08,2025-06,2025,Monday
