OrderID,OrderDate,Region,SalesChannel,CustomerSegment,SalesRep,ProductCategory,Product,Quantity,UnitPrice,DiscountPct,UnitCost,Revenue,Cost
ORD102008,2025-09-24,North,Online,Small Business,Rep_12,Apparel,Running Shoes,2,60.35,0.0,34.35,120.7,68.7
ORD101337,2024-12-23,West,In-Store,Consumer,Rep_05,Apparel,Denim Jacket,2,25.75,0.0,13.05,51.5,26.1
ORD100328,2024-03-19,East,Online,Small Business,Rep_10,Electronics,Power Bank,3,98.23,0.0,52.35,294.69,157.05
ORD102340,2024-07-03,North,Online,Consumer,Rep_01,Beauty,Perfume,7,71.39,0.0,46.07,499.73,322.49
ORD100929,2024-06-14,North,In-Store,Enterprise,Rep_15,Beauty,Hair Dryer,5,74.13,0.0,47.94,370.65,239.7
ORD102560,2024-07-07,West,In-Store,Consumer,Rep_15,Home & Kitchen,Cookware Set,3,126.84,0.0,59.18,380.52,177.54
ORD101344,2024-06-27,West,In-Store,Consumer,Rep_08,Home & Kitchen,Air Fryer,1,85.27,0.0,43.46,85.27,43.46
ORD101675,2025-02-05,North,In-Store,Consumer,Rep_13,Apparel,Yoga Pants,1,91.0,0.0,54.68,91.0,54.68
ORD102014,2025-06-14,East,In-Store,Consumer,Rep_04,Home & Kitchen,Air Fryer,5,119.73,0.0,67.94,598.65,339.7
ORD101377,2025-03-06,North,Online,Small Business,Rep_12,Electronics,Smartwatch,1,161.91,0.0,106.28,161.91,106.28
ORD100517,2024-03-06,East,Online,Consumer,Rep_14,Home & Kitchen,Vacuum Cleaner,1,169.97,,106.86,169.97,106.86
ORD101396,2025-12-10,South,Marketplace,Consumer,Rep_04,Sports & Outdoors,Water Bottle,6,48.22,0.0,26.42,289.32,158.52
ORD102305,2025-12-06,South,Online,Consumer,Rep_09,Apparel,Denim Jacket,10,94.8,0.0,50.79,948.0,507.9
ORD100241,2024-11-25,East,Marketplace,Consumer,Rep_15,Home & Kitchen,Vacuum Cleaner,7,108.89,0.0,50.74,762.23,355.18
ORD100997,2025-12-09,West,Marketplace,Consumer,Rep_06,Home & Kitchen,Vacuum Cleaner,7,44.48,0.0,23.27,311.36,162.89
ORD102252,2025-09-03,South,Marketplace,Consumer,Rep_13,APPAREL,Yoga Pants,3,29.05,10.0,16.81,78.44,50.43
ORD102203,2025-08-12,East,Online,Consumer,Rep_02,Home & Kitchen,Coffee Maker,4,60.61,0.0,37.58,242.44,150.32
ORD100151,2025-09-20,East,In-Store,Consumer,Rep_14,Apparel,Backpack,8,101.41,20.0,55.43,649.02,443.44
ORD101408,2025-07-21,North,Marketplace,Consumer,Rep_02,Electronics,Smartwatch,2,67.9,0.0,39.24,135.8,78.48
ORD101029,2024-11-30,West,Online,Small Business,Rep_03,Beauty,Perfume,7,42.21,0.0,25.1,295.47,175.7
ORD100735,2024-08-24,South,Online,Small Business,Rep_05,Apparel,Running Shoes,3,115.08,5.0,62.81,327.98,188.43
ORD101966,2024-03-21,West,Online,Consumer,Rep_07,Beauty,Perfume,2,88.53,5.0,55.84,168.21,111.68
ORD102096,2025-12-01,East,Online,Small Business,Rep_08,Beauty,Hair Dryer,2,15.94,0.0,8.08,31.88,16.16
ORD100762,2025-12-29,East,In-Store,Consumer,Rep_08,Apparel,Running Shoes,4,69.03,0.0,33.98,276.12,135.92
ORD101287,2025-11-21,North,Marketplace,Consumer,Rep_11,Apparel,Backpack,1,38.75,0.0,17.44,38.75,17.44
ORD101549,2024-09-18,North,Online,Small Business,Rep_09,Beauty,Skincare Set,6,67.66,20.0,30.61,324.77,183.66
ORD100676,2024-05-29,South,Online,Small Business,Rep_09,Apparel,Running Shoes,2,74.11,20.0,46.51,118.58,93.02
ORD101684,2025-08-25,North,Online,Consumer,Rep_01,Home & Kitchen,Air Fryer,2,151.65,0.0,85.47,303.3,170.94
ORD101354,2024-06-25,East,Online,Consumer,Rep_03,Home & Kitchen,Air Fryer,5,82.5,0.0,52.8,412.5,264.0
ORD100398,2024-03-07,East,Online,Enterprise,Rep_05,Apparel,Winter Coat,5,81.8,0.0,44.67,409.0,223.35
ORD100873,2025-01-08,East,In-Store,Small Business,Rep_03,Apparel,Backpack,4,62.62,5.0,37.2,237.96,148.8
ORD101906,2024-12-09,West,Online,Consumer,Rep_03,Beauty,Hair Dryer,5,72.3,10.0,41.79,325.35,208.95
ORD102344,2024-06-24,North,In-Store,Small Business,Rep_07,Electronics,Laptop Stand,9,168.38,0.0,107.67,1515.42,969.03
ORD102076,2024-10-20,West,Marketplace,Enterprise,Rep_07,Electronics,Wireless Earbuds,2,146.12,0.0,85.85,292.24,171.7
ORD100186,2025-01-10,West,Online,Consumer,Rep_11,Electronics,Wireless Earbuds,7,200.16,0.0,91.79,1401.12,642.53
ORD100414,2025-07-21,South,In-Store,Consumer,Rep_05,Sports & Outdoors,Water Bottle,5,52.14,5.0,25.03,247.66,125.15
ORD101002,2025-11-27,South,In-Store,Small Business,Rep_11,Apparel,Yoga Pants,2,16.09,0.0,8.7,32.18,17.4
ORD100801,2025-12-20,East,Online,Small Business,Rep_04,Sports & Outdoors,Cycling Helmet,4,55.71,0.0,29.02,222.84,116.08
ORD101487,2024-08-31,North,Marketplace,Consumer,Rep_01,Apparel,Denim Jacket,3,40.29,0.0,22.57,120.87,67.71
ORD100026,2025-01-16,North,In-Store,Consumer,Rep_04,Apparel,Backpack,4,24.63,15.0,12.79,83.74,51.16
ORD101824,2024-07-09, East ,Online,Consumer,Rep_03,Home & Kitchen,Vacuum Cleaner,2,135.81,0.0,66.78,271.62,133.56
ORD100419,2025-01-19,South,In-Store,Consumer,Rep_10,Sports & Outdoors,Water Bottle,3,102.91,5.0,52.82,293.29,158.46
ORD102283,2025-05-29,West,In-Store,Consumer,Rep_09,Sports & Outdoors,Yoga Mat,4,60.51,0.0,28.38,242.04,113.52
ORD100705,2024-12-16,North,Marketplace,Small Business,Rep_09,Electronics,Bluetooth Speaker,2,127.26,0.0,62.29,254.52,124.58
ORD100631,2025-06-12,East,Marketplace,Consumer,Rep_10,Home & Kitchen,Air Fryer,4,129.81,0.0,59.95,519.24,239.8
ORD101450,2025-07-10,East,Online,Consumer,Rep_14,Home & Kitchen,Vacuum Cleaner,2,89.62,0.0,40.47,179.24,80.94
ORD101558,2024-05-11,West,Online,Consumer,Rep_09,Home & Kitchen,Air Fryer,3,114.46,0.0,75.74,343.38,227.22
ORD101753,2025-12-22,South,Online,Small Business,Rep_10,Home & Kitchen,Blender,7,171.99,5.0,82.33,1143.73,576.31
ORD102377,2024-02-22,East,In-Store,Small Business,Rep_01,Home & Kitchen,Air Fryer,4,93.83,5.0,44.82,356.55,179.28
ORD101649,2025-06-05,West,Marketplace,Consumer,Rep_15,Home & Kitchen,Air Fryer,3,47.81,0.0,28.98,143.43,86.94
ORD102084,2024-09-30,North,Online,Consumer,Rep_12,Electronics,Smartwatch,6,43.0,15.0,28.54,219.3,171.24
ORD102004,2024-06-19,East,Marketplace,Consumer,Rep_07,Beauty,Perfume,3,88.1,0.0,41.01,264.3,123.03
ORD101075,2024-08-16,North,Marketplace,Consumer,Rep_14,Sports & Outdoors,Yoga Mat,6,44.92,10.0,23.56,242.57,141.36
ORD101800,2024-05-13,West,In-Store,Small Business,Rep_04,Home & Kitchen,Cookware Set,3,159.3,0.0,95.05,477.9,285.15
ORD101224,2025-09-18,West,Online,Consumer,Rep_11,Electronics,Power Bank,2,41.7,0.0,26.15,83.4,52.3
ORD100356,2024-02-23,North,Marketplace,Consumer,Rep_04,Home & Kitchen,Cookware Set,1,129.9,0.0,61.94,129.9,61.94
ORD100506,2025-02-20,North,In-Store,Consumer,Rep_04,Electronics,Bluetooth Speaker,3,94.91,0.0,43.56,284.73,130.68
ORD101925,2025-09-29,North,Online,Small Business,Rep_11,Apparel,Running Shoes,1,52.15,10.0,25.77,46.94,25.77
ORD100879,2025-09-02,North,Online,Small Business,Rep_08,Home & Kitchen,Coffee Maker,3,126.85,0.0,73.49,380.55,220.47
ORD102193,2024-11-17,East,In-Store,Consumer,Rep_10,Sports & Outdoors,Dumbbell Set,8,22.03,5.0,11.74,167.43,93.92
ORD101317,2024-08-08,North,In-Store,Small Business,Rep_15,Apparel,Yoga Pants,1,17.34,0.0,11.44,17.34,11.44
ORD100637,2024-11-27,North,Online,Enterprise,Rep_09,Beauty,Perfume,4,80.89,0.0,47.16,323.56,188.64
ORD100450,2025-07-03,North,Marketplace,Consumer,Rep_09,Home & Kitchen,Cookware Set,3,82.91,0.0,53.01,248.73,159.03
ORD101945,2024-06-24,South,Online,Small Business,Rep_10,Beauty,Perfume,3,36.72,,19.04,110.16,57.12
ORD101085,2024-07-23,North,Online,Consumer,Rep_05,Sports & Outdoors,Dumbbell Set,1,74.11,0.0,43.5,74.11,43.5
ORD100568,2024-10-19,East,In-Store,Consumer,Rep_07,Home & Kitchen,Air Fryer,3,38.91,0.0,23.22,116.73,69.66
ORD101385,2025-06-19,South,Online,Consumer,Rep_07,Apparel,Running Shoes,3,19.67,5.0,11.03,56.06,33.09
ORD102031,2024-02-25,South,Online,Small Business,Rep_13,Beauty,Makeup Kit,5,53.14,0.0,26.17,265.7,130.85
ORD102510,2024-08-15,North,In-Store,Small Business,Rep_15,Beauty,Skincare Set,3,39.64,0.0,21.77,118.92,65.31
ORD100194,2024-09-28,North,Marketplace,Consumer,Rep_06,Sports & Outdoors,Dumbbell Set,4,143.69,5.0,82.8,546.02,331.2
ORD101397,2025-04-17,South,In-Store,Consumer,Rep_08,Home & Kitchen,Air Fryer,2,53.58,5.0,26.42,101.8,52.84
ORD101394,2024-11-24,West,Online,Small Business,Rep_15,Apparel,Winter Coat,9,42.0,0.0,27.87,378.0,250.83
ORD101874,2024-07-16,East,Online,Small Business,Rep_09,Apparel,Winter Coat,2,31.84,0.0,15.55,63.68,31.1
ORD101464,2024-07-10,East,Marketplace,Consumer,Rep_04,Home & Kitchen,Vacuum Cleaner,4,146.4,0.0,98.53,585.6,394.12
ORD100179,2025-04-16,South,Online,Consumer,Rep_03,Home & Kitchen,Cookware Set,4,50.88,5.0,31.8,193.34,127.2
ORD100687,2024-11-26,East,Online,Consumer,Rep_04,Electronics,Laptop Stand,8,192.92,0.0,92.41,1543.36,739.28
ORD101119,2024-02-25,East,Online,Consumer,Rep_13,Electronics,Power Bank,1,51.63,,29.75,51.63,29.75
ORD101730,2024-07-01,North,Online,Consumer,Rep_09,Sports & Outdoors,Camping Tent,5,79.59,0.0,51.16,397.95,255.8
ORD100819,2025-11-06,North,In-Store,Consumer,Rep_13,Electronics,Smartwatch,11,117.84,20.0,59.83,1036.99,658.13
ORD102074,2025-06-12,East,Online,Small Business,Rep_04,Beauty,Perfume,6,33.15,5.0,16.08,188.95,96.48
ORD102405,2024-01-05,West,Marketplace,Small Business,Rep_04,Beauty,Makeup Kit,1,45.53,0.0,22.46,45.53,22.46
ORD100744,2025-01-30,West,Online,Consumer,Rep_06,Sports & Outdoors,Camping Tent,3,127.71,0.0,72.61,383.13,217.83
ORD100400,2024-09-27,East,Online,Consumer,Rep_11,Home & Kitchen,Air Fryer,2,110.16,0.0,57.89,220.32,115.78
ORD102587,2024-07-08,East,Online,Small Business,Rep_13,Home & Kitchen,Coffee Maker,1,113.05,0.0,60.29,113.05,60.29
ORD102261,2025-07-06,South,Online,Consumer,Rep_03,Beauty,Hair Dryer,3,83.89,5.0,55.32,239.09,165.96
ORD102503,2024-04-02,East,Online,Consumer,Rep_11,Home & Kitchen,Vacuum Cleaner,2,154.39,0.0,95.17,308.78,190.34
ORD102514,2024-07-14,North,In-Store,Consumer,Rep_05,Electronics,Smartwatch,7,75.55,0.0,37.59,528.85,263.13
ORD101296,2024-09-11,South,Online,Consumer,Rep_10,Home & Kitchen,Blender,5,31.15,0.0,20.36,155.75,101.8
ORD102485,2024-12-26,West,In-Store,Small Business,Rep_06,Home & Kitchen,Cookware Set,2,65.93,15.0,34.51,112.08,69.02
ORD101802,2024-10-07,East,In-Store,Consumer,Rep_11,Electronics,Smartwatch,2,41.15,0.0,19.95,82.3,39.9
ORD100226,2025-07-18,West,Online,Enterprise,Rep_01,Electronics,Smartwatch,3,134.21,0.0,68.53,402.63,205.59
ORD102035,2024-09-13,South,In-Store,Consumer,Rep_05,Sports & Outdoors,Cycling Helmet,2,112.1,0.0,66.56,224.2,133.12
ORD101086,2024-10-28,North,Online,Consumer,Rep_04,Apparel,Backpack,4,103.25,0.0,67.65,413.0,270.6
ORD101871,2025-03-22,South,In-Store,Consumer,Rep_11,Apparel,Denim Jacket,1,38.52,0.0,25.88,38.52,25.88
ORD100713,2024-03-16,East,In-Store,Consumer,Rep_10,Sports & Outdoors,Cycling Helmet,6,39.86,0.0,23.95,239.16,143.7
ORD100863,2024-01-03,North,In-Store,Small Business,Rep_02,Beauty,Makeup Kit,3,46.6,10.0,21.63,125.82,64.89
ORD102041,2024-03-22,West,Online,Consumer,Rep_12,Home & Kitchen,Vacuum Cleaner,3,31.68,5.0,16.57,90.29,49.71
ORD101095,2024-06-24,North,In-Store,Consumer,Rep_07,Electronics,Laptop Stand,5,40.24,5.0,23.47,191.14,117.35
ORD100778,2024-01-22,East,Online,Consumer,Rep_03,Home & Kitchen,Air Fryer,2,128.25,10.0,64.65,230.85,129.3
ORD100423,2024-02-07,West,Online,Consumer,Rep_13,Home & Kitchen,Coffee Maker,2,141.09,0.0,67.8,282.18,135.6
ORD100514,2024-02-04,North,Marketplace,Consumer,Rep_10,Sports & Outdoors,Cycling Helmet,3,101.44,0.0,49.09,304.32,147.27
ORD102064,2024-09-23,East,Online,Enterprise,Rep_06,Apparel,Yoga Pants,1,112.87,0.0,72.57,112.87,72.57
ORD102066,2025-06-10,South,Online,Consumer,Rep_05,Beauty,Hair Dryer,2,38.76,0.0,25.99,77.52,51.98
ORD101528,2024-04-24,South,In-Store,Enterprise,Rep_01,Electronics,Smartwatch,2,161.52,0.0,104.02,323.04,208.04
ORD100716,2025-06-22,East,In-Store,Consumer,Rep_02,Home & Kitchen,Blender,6,34.86,0.0,23.08,209.16,138.48
ORD102467,2025-10-10,South,Online,Consumer,Rep_01,Electronics,Wireless Earbuds,5,134.86,5.0,90.17,640.58,450.85
ORD100142,2024-04-27,East,Online,Consumer,Rep_04,Sports & Outdoors,Camping Tent,3,27.29,15.0,17.83,69.59,53.49
ORD101812,2024-03-19,North,Online,Consumer,Rep_07,Beauty,Hair Dryer,3,41.89,0.0,22.63,125.67,67.89
ORD101645,2024-05-11,North,In-Store,Consumer,Rep_15,Electronics,Wireless Earbuds,5,131.04,5.0,85.1,622.44,425.5
ORD100740,2025-09-17,West,Online,Consumer,Rep_03,Electronics,Laptop Stand,3,202.74,0.0,129.35,608.22,388.05
ORD100582,2024-09-17,East,Online,Consumer,Rep_11,Beauty,Makeup Kit,2,24.49,0.0,16.29,48.98,32.58
ORD101007,2025-01-20,South,Online,,Rep_05,Apparel,Winter Coat,6,91.68,0.0,56.88,550.08,341.28
ORD100672,2025-02-06,West,Online,Consumer,Rep_15,Apparel,Yoga Pants,4,37.79,0.0,20.31,151.16,81.24
ORD100732,2024-04-18,North,In-Store,Small Business,Rep_07,Electronics,Laptop Stand,3,86.19,0.0,44.25,258.57,132.75
ORD101659,2024-03-20,South,Online,Small Business,Rep_08,Beauty,Face Serum,3,71.13,5.0,33.05,202.72,99.15
ORD102538,2025-04-18,North,Marketplace,Consumer,Rep_09,Home & Kitchen,Blender,3,176.64,0.0,108.8,529.92,326.4
ORD100190,2024-11-21,East,Online,Consumer,Rep_04,Sports & Outdoors,Camping Tent,4,87.36,0.0,45.57,349.44,182.28
ORD100415,2025-04-20,East,Online,Consumer,Rep_05,Home & Kitchen,Air Fryer,3,45.0,5.0,27.79,128.25,83.37
ORD100354,2024-05-06,North,Online,Small Business,Rep_08,Apparel,Running Shoes,4,91.57,0.0,54.65,366.28,218.6
ORD100110,2024-09-19,East,In-Store,Small Business,Rep_08,Home & Kitchen,Air Fryer,1,36.45,0.0,20.22,36.45,20.22
ORD100412,2024-07-26,West,In-Store,Consumer,Rep_15,Beauty,Skincare Set,5,24.49,0.0,12.91,122.45,64.55
ORD101634,2025-07-25,West,In-Store,Enterprise,Rep_10,Home & Kitchen,Vacuum Cleaner,4,94.85,0.0,60.18,379.4,240.72
ORD100584,2025-01-25,East,Online,Enterprise,Rep_09,Beauty,Makeup Kit,5,52.9,0.0,35.51,264.5,177.55
ORD101471,2024-03-10,South,Online,Consumer,Rep_14,Apparel,Yoga Pants,3,87.61,5.0,59.04,249.69,177.12
ORD101929,2025-03-15,South,Online,Consumer,Rep_05,Electronics,Laptop Stand,2,135.34,0.0,89.1,270.68,178.2
ORD101401,2025-03-07,South,Marketplace,Small Business,Rep_08,Beauty,Perfume,4,35.07,0.0,21.2,140.28,84.8
ORD102562,2025-03-12,East,Online,Consumer,Rep_09,Home & Kitchen,Blender,3,171.44,0.0,81.04,514.32,243.12
ORD102557,2024-10-10,East,Online,Consumer,Rep_02,Electronics,Smartwatch,5,147.67,0.0,88.15,738.35,440.75
ORD101070,2025-05-10,North,Online,Consumer,Rep_09,Sports & Outdoors,Yoga Mat,7,59.47,10.0,33.88,374.66,237.16
ORD100060,2025-10-29,East,In-Store,Enterprise,Rep_09,Electronics,Laptop Stand,1,74.75,0.0,48.68,74.75,48.68
ORD102427,2025-05-16,West,Online,Consumer,Rep_15,Sports & Outdoors,Water Bottle,4,64.79,15.0,39.43,220.29,157.72
ORD101608,2024-11-22,South,Online,Small Business,Rep_02,Beauty,Makeup Kit,5,35.14,0.0,23.71,175.7,118.55
ORD102120,2024-03-22,North,In-Store,Consumer,Rep_01,Home & Kitchen,Cookware Set,2,41.7,5.0,19.63,79.23,39.26
ORD101281,2024-10-26,South,Online,Consumer,Rep_07,Home & Kitchen,Coffee Maker,5,124.36,10.0,58.18,559.62,290.9
ORD100099,2025-03-18,West,Online,Small Business,Rep_06,Electronics,Laptop Stand,3,75.23,0.0,50.44,225.69,151.32
ORD101731,2025-04-21,North,Online,Small Business,Rep_09,Home & Kitchen,Vacuum Cleaner,4,31.16,0.0,19.81,124.64,79.24
ORD101912,2024-03-14,West,Online,Consumer,Rep_10,Apparel,Winter Coat,3,96.14,0.0,52.03,288.42,156.09
ORD100892,2024-05-03,North,Marketplace,Consumer,Rep_06,Apparel,Running Shoes,2,42.86,5.0,24.78,81.43,49.56
ORD102471,2025-06-12,North,Online,Consumer,Rep_02,Apparel,Backpack,3,70.37,0.0,35.76,211.11,107.28
ORD100151,2025-09-20,East,In-Store,Consumer,Rep_14,Apparel,Backpack,8,101.41,20.0,55.43,649.02,443.44
ORD101625,2025-06-09,South,Online,Consumer,Rep_14,Beauty,Skincare Set,3,61.67,0.0,33.87,185.01,101.61
ORD100868,2024-09-01,West,Online,Small Business,Rep_07,Beauty,Makeup Kit,5,77.31,5.0,51.31,367.22,256.55
ORD101666,2025-05-23,East,Online,Consumer,Rep_15,Electronics,Laptop Stand,3,193.44,0.0,95.45,580.32,286.35
ORD100635,2025-05-09,South,Online,Consumer,Rep_06,Beauty,Makeup Kit,3,30.63,5.0,18.13,87.3,54.39
ORD100270,2024-10-24,East,Online,Small Business,Rep_15,Electronics,Smartwatch,2,195.6,0.0,93.98,391.2,187.96
ORD100340,2025-05-11,North,Online,Consumer,Rep_10,Sports & Outdoors,Water Bottle,1,95.03,0.0,58.82,95.03,58.82
ORD102013,2024-07-22, South ,Marketplace,Small Business,Rep_01,Sports & Outdoors,Water Bottle,3,122.19,0.0,63.18,366.57,189.54
ORD101914,2024-04-14,North,In-Store,Consumer,Rep_03,Home & Kitchen,Cookware Set,6,176.85,0.0,114.84,1061.1,689.04
ORD100325,2025-09-21,East,Online,Consumer,Rep_12,Home & Kitchen,Cookware Set,3,166.44,0.0,96.2,499.32,288.6
ORD102645,2025-04-03,East,In-Store,Consumer,Rep_09,Apparel,Denim Jacket,2,88.79,0.0,48.3,177.58,96.6
ORD100737,2024-08-12,South,Online,Small Business,Rep_12,Apparel,Winter Coat,7,113.05,5.0,60.81,751.78,425.67
ORD102416,2024-05-22,South,Marketplace,Small Business,Rep_11,Sports & Outdoors,Cycling Helmet,3,119.84,0.0,72.12,359.52,216.36
ORD102279,2024-09-24,South,Marketplace,Enterprise,Rep_07,Home & Kitchen,Vacuum Cleaner,3,34.12,0.0,18.23,102.36,54.69
ORD101144,2024-08-04,West,Marketplace,Enterprise,Rep_05,Home & Kitchen,Air Fryer,3,148.4,5.0,87.83,422.94,263.49
ORD101297,2024-03-26,East,Online,Small Business,Rep_05,Sports & Outdoors,Cycling Helmet,3,122.05,0.0,79.85,366.15,239.55
ORD101512,2025-05-20,East,Online,Consumer,Rep_04,Home & Kitchen,Coffee Maker,2,143.56,0.0,74.32,287.12,148.64
ORD102594,2025-07-30,East,Online,Consumer,Rep_11,Electronics,Bluetooth Speaker,11,36.83,0.0,22.0,405.13,242.0
ORD100835,2025-05-31,East,Online,Small Business,Rep_14,Home & Kitchen,Blender,7,51.05,0.0,22.99,357.35,160.93
ORD100779,2024-12-06,North,Online,Small Business,,Beauty,Skincare Set,6,40.85,20.0,27.41,196.08,164.46
ORD100386,2024-05-26,East,Online,Small Business,Rep_10,Apparel,Backpack,3,75.84,0.0,48.4,227.52,145.2
ORD100592,2025-01-15,East,Marketplace,Consumer,Rep_13,HOME & KITCHEN,Cookware Set,3,27.14,0.0,15.16,81.42,45.48
ORD102072,2024-03-11,West,Marketplace,Small Business,Rep_03,Beauty,Perfume,2,20.02,15.0,11.2,34.03,22.4
ORD101162,2024-08-16,East,Online,Consumer,Rep_15,Electronics,Bluetooth Speaker,2,171.33,10.0,81.12,308.39,162.24
ORD100063,2025-09-20,South,In-Store,Enterprise,Rep_03,Electronics,Laptop Stand,4,216.26,0.0,124.78,865.04,499.12
ORD100563,2025-07-08,South,In-Store,Consumer,Rep_07,Beauty,Makeup Kit,2,10.44,0.0,5.14,20.88,10.28
ORD100804,2024-01-01,North,In-Store,Consumer,Rep_06,Beauty,Perfume,3,31.51,0.0,20.43,94.53,61.29
ORD101815,2025-11-02,East,In-Store,Consumer,Rep_07,Home & Kitchen,Vacuum Cleaner,2,143.86,20.0,86.52,230.18,173.04
ORD100456,2025-05-12,East,Online,Consumer,Rep_09,Apparel,Yoga Pants,4,30.39,0.0,15.5,121.56,62.0
ORD101939,2024-09-10,West,Online,Consumer,Rep_06,Apparel,Backpack,7,26.83,15.0,17.71,159.64,123.97
ORD102354,2024-08-23,South,Online,Small Business,Rep_08,Sports & Outdoors,Camping Tent,2,113.1,0.0,65.58,226.2,131.16
ORD100562,2024-02-26,West,Online,Consumer,Rep_06,Electronics,Smartwatch,7,76.47,0.0,44.8,535.29,313.6
ORD101170,2024-11-05,North,Online,Consumer,Rep_08,Beauty,Makeup Kit,9,43.39,10.0,20.62,351.46,185.58
ORD102461,2024-06-05, North ,Online,Consumer,Rep_07,Apparel,Denim Jacket,1,53.4,0.0,36.12,53.4,36.12
ORD100546,2025-09-20,North,Online,Consumer,Rep_13,Sports & Outdoors,Camping Tent,3,83.02,0.0,53.49,249.06,160.47
ORD100512,2024-11-06,West,Marketplace,Consumer,Rep_09,Beauty,Hair Dryer,3,58.02,0.0,36.54,174.06,109.62
ORD102574,2024-12-31,West,In-Store,Consumer,Rep_10,Sports & Outdoors,Dumbbell Set,2,132.74,5.0,66.59,252.21,133.18
ORD101189,2024-08-13,West,Online,,Rep_15,Beauty,Face Serum,4,39.02,0.0,26.27,156.08,105.08
ORD100664,2025-03-03, South ,Online,Small Business,Rep_13,Electronics,Bluetooth Speaker,2,159.58,0.0,73.77,319.16,147.54
ORD100395,2024-08-19,South,Online,Consumer,Rep_11,Home & Kitchen,Blender,5,124.86,0.0,72.14,624.3,360.7
ORD102246,2024-12-28,North,Online,Consumer,Rep_06,Beauty,Hair Dryer,9,15.13,0.0,8.52,136.17,76.68
ORD100615,2024-10-14,East,Online,Consumer,Rep_15,Home & Kitchen,Coffee Maker,1,150.87,5.0,82.3,143.33,82.3
ORD101476,2024-12-10,South,Marketplace,Small Business,Rep_02,Sports & Outdoors,Dumbbell Set,1,43.0,0.0,19.92,43.0,19.92
ORD101975,2024-03-04,East,Online,Consumer,Rep_09,Home & Kitchen,Cookware Set,3,161.71,10.0,95.12,436.62,285.36
ORD100219,2025-04-21,West,In-Store,Consumer,Rep_10,Apparel,Winter Coat,6,21.47,0.0,13.23,128.82,79.38
ORD100691,2024-04-29,East,Marketplace,Small Business,Rep_07,Beauty,Face Serum,7,75.31,0.0,40.68,527.17,284.76
ORD102520,2025-08-27,East,In-Store,Small Business,Rep_07,Electronics,Bluetooth Speaker,3,219.47,15.0,149.17,559.65,447.51
ORD101034,2024-06-12,North,Online,Consumer,Rep_02,BEAUTY,Makeup Kit,3,49.42,5.0,26.38,140.85,79.14
ORD100806,2024-04-27,East,Online,Consumer,Rep_11,Home & Kitchen,Cookware Set,5,111.19,5.0,59.97,528.15,299.85
ORD100632,2024-05-31,South,Online,Small Business,Rep_08,Sports & Outdoors,Cycling Helmet,4,58.28,10.0,29.31,209.81,117.24
ORD101293,2025-06-20,West,In-Store,Small Business,Rep_12,Sports & Outdoors,Yoga Mat,4,17.04,0.0,9.59,68.16,38.36
ORD101422,2024-08-29,North,Online,Consumer,Rep_05,Beauty,Face Serum,5,75.66,5.0,48.76,359.38,243.8
